gid:0, code:000001, symbol:平安银行 
gid:60200, code:002142, symbol:宁波银行 
gid:60300, code:002143, symbol:印纪传媒 
gid:60400, code:002144, symbol:宏达高科 
gid:60500, code:002145, symbol:中核钛白 
gid:60600, code:002146, symbol:荣盛发展 
gid:60700, code:002147, symbol:新光圆成 
gid:60800, code:002148, symbol:北纬通信 
gid:60900, code:002149, symbol:西部材料 
gid:61000, code:002150, symbol:通润装备 
gid:61100, code:002151, symbol:北斗星通 
gid:61200, code:002152, symbol:广电运通 
gid:61300, code:002153, symbol:石基信息 
gid:61400, code:002154, symbol:报 喜 鸟 
gid:61500, code:002155, symbol:湖南黄金 
gid:61600, code:002156, symbol:通富微电 
gid:61700, code:002157, symbol:正邦科技 
gid:61800, code:002158, symbol:汉钟精机 
gid:61900, code:002159, symbol:三特索道 
gid:62000, code:002160, symbol:常铝股份 
gid:62100, code:002161, symbol:远 望 谷 
gid:62200, code:002162, symbol:悦心健康 
gid:62300, code:002163, symbol:中航三鑫 
gid:62400, code:002164, symbol:宁波东力 
gid:62500, code:002165, symbol:红 宝 丽 
